date,state,city,address,killed,injured,incident,gun
"March 13, 2018",Indiana,Indianapolis,N Sherman Dr and 30th St,0,1,http://www.gunviolencearchive.org/incident/1068494,Unknown
"March 13, 2018",Ohio,Dayton,4919 Hoover Ave,0,2,http://www.gunviolencearchive.org/incident/1068490,Unknown
"March 13, 2018",Ohio,Dayton,Salem Ave and Klepinger Rd,0,1,http://www.gunviolencearchive.org/incident/1068486,Unknown
"March 13, 2018",Wisconsin,Milwaukee,9091 N 76TH ST,0,0,http://www.gunviolencearchive.org/incident/1068484,Unknown
"March 13, 2018",Wisconsin,Milwaukee,5750 N 98TH ST,0,0,http://www.gunviolencearchive.org/incident/1068483,
"March 13, 2018",Wisconsin,Milwaukee,608 S 28TH ST,0,0,http://www.gunviolencearchive.org/incident/1068480,
"March 13, 2018",Michigan,Minneapolis,XX block of Aldrich Ave N,0,0,http://www.gunviolencearchive.org/incident/1068463,
"March 13, 2018",Minnesota,Mineapolis,2500 block of Penn Ave N,0,0,http://www.gunviolencearchive.org/incident/1068450,
"March 13, 2018",Ohio,Canton,3200 Atlantic Blvd NE,0,0,http://www.gunviolencearchive.org/incident/1068443,Handgun
"March 13, 2018",Pennsylvania,Easton,1500 block of Butler St,0,0,http://www.gunviolencearchive.org/incident/1068438,URL: http://www.lehighvalleylive.com/easton/index.ssf/2018/03/shots_fired_on_butler_street_i.html#incart_river_indexUnknown
"March 13, 2018",Florida,Orlando,3100 Edgewater Dr,0,0,http://www.gunviolencearchive.org/incident/1068387,Unknown
"March 13, 2018",Michigan,Rochester (Rochester Hills),3400 block of Emmons Ave,1,0,http://www.gunviolencearchive.org/incident/1068379,Unknown
"March 13, 2018",Florida,Jacksonville,6192 Townsend Rd,1,0,http://www.gunviolencearchive.org/incident/1068372,Unknown
"March 13, 2018",Michigan,Detroit,E WARREN AVE AND LAKEPOINTE ST,0,0,http://www.gunviolencearchive.org/incident/1068363,
"March 13, 2018",Michigan,Detroit,TIREMAN ST AND W PARKWAY ST,0,0,http://www.gunviolencearchive.org/incident/1068359,
"March 13, 2018",Michigan,Detroit,300 BLOCK OF CAMPBELL ST,0,0,http://www.gunviolencearchive.org/incident/1068352,
"March 13, 2018",Wisconsin,Milwaukee,3925 N 41ST ST,0,0,http://www.gunviolencearchive.org/incident/1068349,
"March 13, 2018",Wisconsin,Milwaukee,8940 N 85TH ST,0,0,http://www.gunviolencearchive.org/incident/1068348,
"March 13, 2018",Wisconsin,Milwaukee,3100 W THURSTON AVE,0,0,http://www.gunviolencearchive.org/incident/1068347,
"March 13, 2018",Wisconsin,Milwaukee,N 76TH ST AND W CAPITOL DR,0,0,http://www.gunviolencearchive.org/incident/1068346,
"March 13, 2018",Virginia,Alexandria,1005 Mt Vernon Ave,0,0,http://www.gunviolencearchive.org/incident/1068301,Unknown
"March 12, 2018",Oklahoma,Tulsa,2749 E Admiral Place,0,0,http://www.gunviolencearchive.org/incident/1068098,Unknown
"March 12, 2018",Oklahoma,Oklahoma City,Brookline Ave and SW 40th St,0,1,http://www.gunviolencearchive.org/incident/1068087,Unknown
"March 12, 2018",Alabama,Mobile,8070 Domain St,1,0,http://www.gunviolencearchive.org/incident/1068073,9mm
"March 12, 2018",California,Santa Clara,Lewis St and Main St,0,0,http://www.gunviolencearchive.org/incident/1068071,9mm
"March 12, 2018",Texas,Beaumont,1300 block of Loop Rd,0,1,http://www.gunviolencearchive.org/incident/1067995,Unknown
"March 12, 2018",Missouri,Cape Girardeau,N/A,1,0,http://www.gunviolencearchive.org/incident/1067443,Unknown
"March 12, 2018",Missouri,Kansas City,E 35th St and Prospect Ave,1,0,http://www.gunviolencearchive.org/incident/1067978,Unknown
"March 12, 2018",Colorado,Colorado Springs,600 block of S Hancock Ave,0,0,http://www.gunviolencearchive.org/incident/1067957,Unknown
"March 12, 2018",Kentucky,Louisville,2900 block of S 4th St,0,1,http://www.gunviolencearchive.org/incident/1067946,Unknown
"March 12, 2018",Massachusetts,Holyoke,I-391 and High St,0,0,http://www.gunviolencearchive.org/incident/1067927,Unknown
"March 12, 2018",Rhode Island,Providence,Douglas Ave and Lancashire St,0,1,http://www.gunviolencearchive.org/incident/1067924,Unknown
"March 12, 2018",Colorado,Denver,W Vassar Ave and S Grove St,1,1,http://www.gunviolencearchive.org/incident/1067910,Unknown
"March 12, 2018",North Carolina,High Point,1000 block of Asheboro St,0,1,http://www.gunviolencearchive.org/incident/1067902,Unknown
"March 12, 2018",Virginia,Prince George,4400 block of Jefferson Point Ln,0,1,http://www.gunviolencearchive.org/incident/1067881,Unknown
"March 12, 2018",California,San Francisco,500 block of Madrid St,0,0,http://www.gunviolencearchive.org/incident/1067864,Unknown
"March 12, 2018",North Carolina,Charlotte,4400 Sharon Rd,0,1,http://www.gunviolencearchive.org/incident/1067850,Unknown
"March 12, 2018",California,Santa Rosa,Stony Point Rd,0,0,http://www.gunviolencearchive.org/incident/1067848,Unknown
"March 12, 2018",North Carolina,Charlotte,5500 block of Firelight Ln,1,0,http://www.gunviolencearchive.org/incident/1067842,Unknown
"March 12, 2018",Ohio,Cleveland,2400 block of E 36th St,0,2,http://www.gunviolencearchive.org/incident/1067816,Unknown
"March 12, 2018",Connecticut,New London,290 Broad St,0,1,http://www.gunviolencearchive.org/incident/1067810,Unknown
"March 12, 2018",Nevada,Las Vegas,2112 Western Ave,0,1,http://www.gunviolencearchive.org/incident/1067787,Unknown
"March 12, 2018",Alabama,Birmingham,Oakmont Street and Slayton Avenue,1,0,http://www.gunviolencearchive.org/incident/1067785,Unknown
"March 12, 2018",New Jersey,Bloomfield,N 17th St,1,0,http://www.gunviolencearchive.org/incident/1067746,Unknown
"March 12, 2018",Illinois,Elgin,I-90,1,0,http://www.gunviolencearchive.org/incident/1067406,Unknown
"March 12, 2018",New Jersey,Wrightstown,423 E Main St,0,0,http://www.gunviolencearchive.org/incident/1067643,Unknown
"March 12, 2018",South Carolina,Taylors,512 Reid School Rd,0,1,http://www.gunviolencearchive.org/incident/1067633,Unknown
"March 12, 2018",Florida,Jacksonville,Thumper St,0,1,http://www.gunviolencearchive.org/incident/1067601,Unknown
"March 12, 2018",Wisconsin,Milwaukee,915 W SCOTT ST,0,0,http://www.gunviolencearchive.org/incident/1067568,Unknown
"March 12, 2018",Minnesota,Cottage Grove,8300 block of Johansen Ave,0,0,http://www.gunviolencearchive.org/incident/1067563,Unknown
"March 12, 2018",Nevada,Las Vegas,2112 Western Ave,0,1,http://www.gunviolencearchive.org/incident/1067787,Unknown
"March 12, 2018",Alabama,Birmingham,Oakmont Street and Slayton Avenue,1,0,http://www.gunviolencearchive.org/incident/1067785,Unknown
"March 12, 2018",New Jersey,Bloomfield,N 17th St,1,0,http://www.gunviolencearchive.org/incident/1067746,Unknown
"March 12, 2018",Illinois,Elgin,I-90,1,0,http://www.gunviolencearchive.org/incident/1067406,Unknown
"March 12, 2018",New Jersey,Wrightstown,423 E Main St,0,0,http://www.gunviolencearchive.org/incident/1067643,Unknown
"March 12, 2018",South Carolina,Taylors,512 Reid School Rd,0,1,http://www.gunviolencearchive.org/incident/1067633,Unknown
"March 12, 2018",Florida,Jacksonville,Thumper St,0,1,http://www.gunviolencearchive.org/incident/1067601,Unknown
"March 12, 2018",Wisconsin,Milwaukee,915 W SCOTT ST,0,0,http://www.gunviolencearchive.org/incident/1067568,Unknown
"March 12, 2018",Minnesota,Cottage Grove,8300 block of Johansen Ave,0,0,http://www.gunviolencearchive.org/incident/1067563,Unknown
"March 12, 2018",Florida,Tallahassee,Mission Rd,0,0,http://www.gunviolencearchive.org/incident/1068473,Unknown
"March 12, 2018",Ohio,Cincinnati,3217 Beekman St,0,0,http://www.gunviolencearchive.org/incident/1068464,Unknown
"March 12, 2018",Minnesota,Minneapolis,29th St and Chicago Ave,0,0,http://www.gunviolencearchive.org/incident/1068462,
"March 12, 2018",Minnesota,Scandia,14200 block of 236th St N,0,0,http://www.gunviolencearchive.org/incident/1068460,
"March 12, 2018",Minnesota,Minneapolis,9200 block of 21st Ave N,0,0,http://www.gunviolencearchive.org/incident/1068453,
"March 12, 2018",Ohio,Cambridge,Huston Hills Dr,0,0,http://www.gunviolencearchive.org/incident/1068452,Unknown
"March 12, 2018",Minnesota,Minneapolis,3300 block of Colfax Ave N,0,0,http://www.gunviolencearchive.org/incident/1068451,
"March 12, 2018",Michigan,Midland,2019 E Ashman St,1,0,http://www.gunviolencearchive.org/incident/1067500,Unknown
"March 12, 2018",Minnesota,Rochester,2800 block of Charles Court NW,1,0,http://www.gunviolencearchive.org/incident/1068428,Unknown
